time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	3.12669	-0.42901	0.1	1.9	0.1	lidar	6.94947e-310	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	3.12669	-0.42901	0.1	1.9	0.1	radar	6.94947e-310	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	3.18444	-0.409682	0.1	2	0.1	lidar	6.94947e-310	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	3.18444	-0.409682	0.1	2	0.1	radar	6.94947e-310	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	3.20579	-0.413603	0.1	2.1	0.1	lidar	6.94947e-310	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	3.20579	-0.413603	0.1	2.1	0.1	radar	6.94947e-310	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	3.15611	-0.399495	0.1	2.2	0.1	lidar	6.94947e-310	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	3.15611	-0.399495	0.1	2.2	0.1	radar	6.94947e-310	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	3.10668	-0.454433	0.1	2.3	0.1	lidar	6.94947e-310	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	3.10668	-0.454433	0.1	2.3	0.1	radar	6.94947e-310	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	3.03591	-0.475834	0.1	2.4	0.1	lidar	6.94947e-310	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	3.03591	-0.475834	0.1	2.4	0.1	radar	6.94947e-310	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	3.0654	-0.463704	0.1	2.5	0.1	lidar	6.94947e-310	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	3.0654	-0.463704	0.1	2.5	0.1	radar	6.94947e-310	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	3.12837	-0.31877	0.1	2.6	0.1	lidar	6.94947e-310	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	3.12837	-0.31877	0.1	2.6	0.1	radar	6.94947e-310	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	3.24232	-0.144194	0.1	2.7	0.1	lidar	6.94947e-310	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	3.24232	-0.144194	0.1	2.7	0.1	radar	6.94947e-310	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	3.26634	0.0146379	0.1	2.8	0.1	lidar	6.94947e-310	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	3.26634	0.0146379	0.1	2.8	0.1	radar	6.94947e-310	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	3.28645	0.087003	0.1	2.9	0.1	lidar	6.94947e-310	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	3.28645	0.087003	0.1	2.9	0.1	radar	6.94947e-310	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	3.30629	0.0863004	0.1	3	0.1	lidar	6.94947e-310	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	3.30629	0.0863004	0.1	3	0.1	radar	6.94947e-310	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	3.26622	0.038476	0.1	3.1	0.1	lidar	6.94947e-310	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	3.26622	0.038476	0.1	3.1	0.1	radar	6.94947e-310	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	3.23989	-0.0524689	0.1	3.2	0.1	lidar	6.94947e-310	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	3.23989	-0.0524689	0.1	3.2	0.1	radar	6.94947e-310	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	3.25565	-0.16991	0.1	3.3	0.1	lidar	6.94947e-310	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	3.25565	-0.16991	0.1	3.3	0.1	radar	6.94947e-310	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	3.27971	-0.307654	0.1	3.4	0.1	lidar	6.94947e-310	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	3.27971	-0.307654	0.1	3.4	0.1	radar	6.94947e-310	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	3.31727	-0.460075	0.1	3.5	0.1	lidar	6.94947e-310	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	3.31727	-0.460075	0.1	3.5	0.1	radar	6.94947e-310	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	3.37253	-0.622672	0.1	3.6	0.1	lidar	6.94947e-310	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	3.37253	-0.622672	0.1	3.6	0.1	radar	6.94947e-310	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	3.44957	-0.791236	0.1	3.7	0.1	lidar	6.94947e-310	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
